run,task,epoch,ckpt,success
04.27.20_train_diffusion_transformer_hybrid_pnp_single,PickPlaceCounterToCabinet,50,epoch=0050-test_mean_score=-1.000,0.24
06.17.57_train_diffusion_transformer_hybrid_opendrawer_single,OpenDrawer,50,epoch=0050-test_mean_score=-1.000,0.74
04.27.20_train_diffusion_transformer_hybrid_pnp_single,PickPlaceCounterToCabinet,100,epoch=0100-test_mean_score=-1.000,0.28
16.37.35_train_kepler_dp_pnp_single,PickPlaceCounterToCabinet,50,epoch=0050-test_mean_score=-1.000,0.04
16.29.42_train_kepler_dp_pnp_single,PickPlaceCounterToCabinet,50,epoch=0050-test_mean_score=-1.000,0.0
06.17.57_train_diffusion_transformer_hybrid_opendrawer_single,OpenDrawer,100,epoch=0100-test_mean_score=-1.000,0.7
04.27.20_train_diffusion_transformer_hybrid_pnp_single,PickPlaceCounterToCabinet,150,epoch=0150-test_mean_score=-1.000,0.32
16.29.42_train_kepler_dp_pnp_single,PickPlaceCounterToCabinet,100,epoch=0100-test_mean_score=-1.000,0.12
16.37.35_train_kepler_dp_pnp_single,PickPlaceCounterToCabinet,100,epoch=0100-test_mean_score=-1.000,0.02
16.37.21_train_kepler_dp_opendrawer_single,OpenDrawer,50,epoch=0050-test_mean_score=-1.000,0.22
16.37.35_train_kepler_dp_pnp_single,PickPlaceCounterToCabinet,150,epoch=0150-test_mean_score=-1.000,0.02
16.29.42_train_kepler_dp_pnp_single,PickPlaceCounterToCabinet,150,epoch=0150-test_mean_score=-1.000,0.14
04.21.45_train_hybrid_kepler_pnp_single,PickPlaceCounterToCabinet,50,epoch=0050-test_mean_score=-1.000,0.22
10.43.21_train_hybrid_kepler_pnp_single,PickPlaceCounterToCabinet,50,epoch=0050-test_mean_score=-1.000,0.32
10.43.21_train_hybrid_kepler_pnp_single,PickPlaceCounterToCabinet,100,epoch=0100-test_mean_score=-1.000,0.24
10.43.21_train_hybrid_kepler_pnp_single,PickPlaceCounterToCabinet,150,epoch=0150-test_mean_score=-1.000,0.24
04.21.45_train_hybrid_kepler_pnp_single,PickPlaceCounterToCabinet,100,epoch=0100-test_mean_score=-1.000,0.24
10.43.21_train_hybrid_kepler_pnp_single,PickPlaceCounterToCabinet,200,epoch=0200-test_mean_score=-1.000,0.24
